,earnings_yield_pct,GS10_pct,ERP_trailing_pct
2020-06-30,3.1961622510670913,0.73,2.4661622510670913
2020-07-31,3.083075967891979,0.62,2.463075967891979
2020-08-31,2.9058105400127565,0.65,2.2558105400127566
2020-09-30,2.918422629512061,0.68,2.238422629512061
2020-10-31,2.8328611898017,0.79,2.0428611898017
2020-11-30,2.69071668461777,0.87,1.82071668461777
2020-12-31,2.5472829072527072,0.93,1.617282907252707
2021-01-31,4.100470937503503,1.58,2.520470937503503
2021-02-28,3.008764674293579,1.26,1.748764674293579
2021-03-31,3.278346226316183,1.61,1.668346226316183
2021-04-30,3.341723710884991,1.64,1.701723710884991
2021-05-31,3.5647480393265947,1.62,1.9447480393265946
2021-06-30,3.745673978841304,1.52,2.225673978841304
2021-07-31,3.765524269033895,1.32,2.4455242690338945
2021-08-31,3.8137733069612585,1.28,2.5337733069612582
2021-09-30,3.9461993022225257,1.37,2.5761993022225256
2021-10-31,4.100041000410004,1.58,2.5200410004100036
2021-11-30,4.079156358733223,1.56,2.519156358733223
2021-12-31,4.2327191404540825,1.47,2.7627191404540827
2022-01-31,4.326438907151663,1.76,2.566438907151663
2022-02-28,4.461170771437665,1.93,2.5311707714376652
2022-03-31,4.506901546647444,2.13,2.376901546647444
2022-04-30,4.463982083345479,2.75,1.7139820833454786
2022-05-31,4.805099875588644,2.9,1.9050998755886437
2022-06-30,4.931075401561446,3.14,1.791075401561446
2022-07-31,4.872098986735493,2.9,1.9720989867354928
2022-08-31,4.542594754284723,2.9,1.642594754284723
2022-09-30,4.862459533918297,3.52,1.3424595339182974
2022-10-31,4.892367906066536,3.98,0.9123679060665357
2022-11-30,4.5329211158849825,3.89,0.6429211158849824
2022-12-31,4.41546981499513,3.62,0.7954698149951298
2023-01-31,4.382017644465423,3.53,0.8520176444654228
2023-02-28,4.273941360191961,3.75,0.5239413601919614
2023-03-31,4.4139445638248285,3.66,0.7539445638248283
2023-04-30,4.298711700533841,3.46,0.8387117005338407
2023-05-31,4.321334207304632,3.57,0.7513342073046325
2023-06-30,4.169262476571959,3.75,0.4192624765719586
2023-07-31,4.038772213247173,3.9,0.1387722132471727
2023-08-31,4.139072847682119,4.17,-0.030927152317881124
2023-09-30,4.178854993731718,4.09,0.08885499373171779
2023-10-31,4.389815627743634,4.8,-0.4101843722563654
2023-11-30,4.253509145044662,4.5,-0.24649085495533818
2023-12-31,4.1067761806981515,4.02,0.08677618069815196
2024-01-31,3.9984006397441023,4.06,-0.061599360255897295
2024-02-29,3.8255547054322876,4.21,-0.38444529456771237
2024-03-31,3.7009622501850483,4.21,-0.5090377498149516
2024-04-30,3.7864445285876562,4.54,-0.7535554714123438
2024-05-31,3.7133308577794284,4.48,-0.766669142220572
2024-06-30,3.61794500723589,4.31,-0.6920549927641098
2024-07-31,3.5612535612535616,4.25,-0.6887464387464384
2024-08-31,3.614022406938923,3.87,-0.25597759306107726
2024-09-30,3.5599857600569598,3.72,-0.16001423994304043
2024-10-31,3.51493848857645,4.1,-0.5850615114235498
2024-11-30,3.4891835310537336,4.36,-0.8708164689462667
2024-12-31,3.4965034965034962,4.39,-0.8934965034965034
2025-01-31,3.5511363636363638,4.63,-1.0788636363636361
2025-02-28,3.552397868561279,4.45,-0.8976021314387213
2025-03-31,3.8124285169653067,4.28,-0.46757148303469354
2025-04-30,4.071661237785016,4.28,-0.20833876221498393
2025-05-31,3.7965072133637054,4.42,-0.6234927866362945
2025-06-30,3.6900369003690034,4.38,-0.6899630996309964
2025-07-31,3.5958288385472854,4.39,-0.7941711614527143
2025-08-31,3.5919540229885056,4.26,-0.6680459770114942
2025-09-30,3.5549235691432637,4.12,-0.5650764308567364
